Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Test Cases/MoLeaWiz/Login/Negative Case/TCML08 - User cant login because to many try login with invalid username and password,Chrome 119.0.0.0,,,2023-11-10 10:26:29,2023-11-10 10:27:00,30.485s,PASSED
openBrowser(base_url),Chrome 119.0.0.0,,,2023-11-10 10:26:30,2023-11-10 10:26:37,6.665s,PASSED
"setText(findTestObject(""Object Login/input_Username_Login""), ""test1234"")",Chrome 119.0.0.0,,,2023-11-10 10:26:37,2023-11-10 10:26:38,1.522s,PASSED
"setText(findTestObject(""Object Login/input_Password_Login""), ""12345"")",Chrome 119.0.0.0,,,2023-11-10 10:26:38,2023-11-10 10:26:39,0.928s,PASSED
"comment(""function captcha your answer"")",Chrome 119.0.0.0,,,2023-11-10 10:26:39,2023-11-10 10:26:39,0.002s,PASSED
keywordFunctionLogin.FunctionLogin.automationCaptcha(),Chrome 119.0.0.0,,,2023-11-10 10:26:39,2023-11-10 10:26:41,1.420s,PASSED
"click(findTestObject(""Object Login/btn_login""))",Chrome 119.0.0.0,,,2023-11-10 10:26:41,2023-11-10 10:26:41,0.621s,PASSED
delay(2),Chrome 119.0.0.0,,,2023-11-10 10:26:41,2023-11-10 10:26:43,2.009s,PASSED
keywordFunctionLogin.FunctionLogin.automationCaptcha(),Chrome 119.0.0.0,,,2023-11-10 10:26:43,2023-11-10 10:26:45,1.355s,PASSED
"click(findTestObject(""Object Login/btn_login""))",Chrome 119.0.0.0,,,2023-11-10 10:26:45,2023-11-10 10:26:45,0.557s,PASSED
delay(2),Chrome 119.0.0.0,,,2023-11-10 10:26:45,2023-11-10 10:26:47,2.004s,PASSED
keywordFunctionLogin.FunctionLogin.automationCaptcha(),Chrome 119.0.0.0,,,2023-11-10 10:26:47,2023-11-10 10:26:48,1.344s,PASSED
"click(findTestObject(""Object Login/btn_login""))",Chrome 119.0.0.0,,,2023-11-10 10:26:48,2023-11-10 10:26:49,0.590s,PASSED
delay(2),Chrome 119.0.0.0,,,2023-11-10 10:26:49,2023-11-10 10:26:51,2.015s,PASSED
keywordFunctionLogin.FunctionLogin.automationCaptcha(),Chrome 119.0.0.0,,,2023-11-10 10:26:51,2023-11-10 10:26:52,1.341s,PASSED
"click(findTestObject(""Object Login/btn_login""))",Chrome 119.0.0.0,,,2023-11-10 10:26:52,2023-11-10 10:26:53,0.623s,PASSED
delay(2),Chrome 119.0.0.0,,,2023-11-10 10:26:53,2023-11-10 10:26:55,2.012s,PASSED
"verifyElementVisible(findTestObject(""Object Login/verify_Unsuccessfully_Login - Too many failed login attempts Please try again in 1 minutes""), STOP_ON_FAILURE)",Chrome 119.0.0.0,,,2023-11-10 10:26:55,2023-11-10 10:26:56,0.619s,PASSED
delay(3),Chrome 119.0.0.0,,,2023-11-10 10:26:56,2023-11-10 10:26:59,3.008s,PASSED
closeBrowser(),Chrome 119.0.0.0,,,2023-11-10 10:26:59,2023-11-10 10:27:00,1.322s,PASSED
