Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Scenario Positive Case - Home,Chrome 118.0.0.0,,,2023-10-24 16:40:51,2023-10-24 16:41:01,10.236s,PASSED
,,,,,,,
Test Cases/MoLeaWiz/Home/Positive Case/TCMH20 - User can Swipe Banner when click button Carousel in Home Page,Chrome 118.0.0.0,,,2023-10-24 16:40:51,2023-10-24 16:40:55,3.968s,PASSED
"click(findTestObject(""Object Home/btn_Dots_Corousel_Banner_1_Home""), STOP_ON_FAILURE)",Chrome 118.0.0.0,,,2023-10-24 16:40:51,2023-10-24 16:40:52,1.122s,PASSED
"click(findTestObject(""Object Home/btn_Dots_Corousel_Banner_2_Home""))",Chrome 118.0.0.0,,,2023-10-24 16:40:52,2023-10-24 16:40:53,0.299s,PASSED
"click(findTestObject(""Object Home/btn_Dots_Corousel_Banner_3_Home""))",Chrome 118.0.0.0,,,2023-10-24 16:40:53,2023-10-24 16:40:53,0.284s,PASSED
"delay(2, STOP_ON_FAILURE)",Chrome 118.0.0.0,,,2023-10-24 16:40:53,2023-10-24 16:40:55,2.017s,PASSED
,,,,,,,
Test Cases/MoLeaWiz/Home/Positive Case/TCMH22 - User can scroll list data Expired in Month in Home Page,Chrome 118.0.0.0,,,2023-10-24 16:40:55,2023-10-24 16:40:58,3.036s,PASSED
"scrollToElement(findTestObject(""Object Home/scroll_list_data_index_0_Expiring_In_Month_Home""), 0)",Chrome 118.0.0.0,,,2023-10-24 16:40:55,2023-10-24 16:40:56,0.298s,PASSED
"scrollToElement(findTestObject(""Object Home/scroll_list_data_index_3_Expiring_In_Month_Home""), 0)",Chrome 118.0.0.0,,,2023-10-24 16:40:56,2023-10-24 16:40:56,0.269s,PASSED
"scrollToElement(findTestObject(""Object Home/scroll_list_data_index_0_Expiring_In_Month_Home""), 0)",Chrome 118.0.0.0,,,2023-10-24 16:40:56,2023-10-24 16:40:56,0.267s,PASSED
"delay(2, STOP_ON_FAILURE)",Chrome 118.0.0.0,,,2023-10-24 16:40:56,2023-10-24 16:40:58,2.002s,PASSED
,,,,,,,
Test Cases/MoLeaWiz/Home/Positive Case/TCMH23 - User can scroll list data Ongoing Program in Month in Home Page,Chrome 118.0.0.0,,,2023-10-24 16:40:58,2023-10-24 16:41:01,3.024s,PASSED
"scrollToElement(findTestObject(""Object Home/scroll_list_data_index_0_Ongoing_Program_Home""), 0)",Chrome 118.0.0.0,,,2023-10-24 16:40:58,2023-10-24 16:40:59,0.270s,PASSED
"scrollToElement(findTestObject(""Object Home/scroll_list_data_index_3_Ongoing_Program_Home""), 0)",Chrome 118.0.0.0,,,2023-10-24 16:40:59,2023-10-24 16:40:59,0.278s,PASSED
"scrollToElement(findTestObject(""Object Home/scroll_list_data_index_0_Ongoing_Program_Home""), 0)",Chrome 118.0.0.0,,,2023-10-24 16:40:59,2023-10-24 16:40:59,0.270s,PASSED
"delay(2, STOP_ON_FAILURE)",Chrome 118.0.0.0,,,2023-10-24 16:40:59,2023-10-24 16:41:01,2.002s,PASSED
