Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Scenario Positive Case - Home,Chrome 118.0.0.0,,,2023-11-03 11:18:15,2023-11-03 11:18:41,26.213s,PASSED
,,,,,,,
Test Cases/MoLeaWiz/Home/Positive Case/TCMH01 - User Open My Learning Journey,Chrome 118.0.0.0,,,2023-11-03 11:18:15,2023-11-03 11:18:38,22.613s,PASSED
"click(findTestObject(""Object Menu/btn_Collapse_Menu""))",Chrome 118.0.0.0,,,2023-11-03 11:18:16,2023-11-03 11:18:18,2.283s,PASSED
"click(findTestObject(""Object Menu/btn_My_Learning_Journey_Menu""))",Chrome 118.0.0.0,,,2023-11-03 11:18:18,2023-11-03 11:18:38,19.889s,PASSED
,,,,,,,
Test Cases/MoLeaWiz/Home/Positive Case/TCMH02 - User Open Achievements,Chrome 118.0.0.0,,,2023-11-03 11:18:38,2023-11-03 11:18:39,1.062s,PASSED
"click(findTestObject(""Object Menu/btn_Achievements_Menu""))",Chrome 118.0.0.0,,,2023-11-03 11:18:38,2023-11-03 11:18:39,0.537s,PASSED
,,,,,,,
Test Cases/MoLeaWiz/Home/Positive Case/TCMH08 - User Open Home,Chrome 118.0.0.0,,,2023-11-03 11:18:39,2023-11-03 11:18:41,2.128s,PASSED
"click(findTestObject(""Object Menu/btn_Home_Menu""))",Chrome 118.0.0.0,,,2023-11-03 11:18:40,2023-11-03 11:18:40,0.728s,PASSED
"verifyElementPresent(findTestObject(""Object Login/verify_Successfully_Login""), 0)",Chrome 118.0.0.0,,,2023-11-03 11:18:40,2023-11-03 11:18:41,0.880s,PASSED
