Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"verifyElementPresent(findTestObject(""Object User Profile/verify_Successfully_Open_User_Profile - Role""), 0)",Chrome 120.0.0.0,,,2024-01-12 10:09:32,2024-01-12 10:09:32,0.385s,PASSED
"verifyElementPresent(findTestObject(""Object User Profile/verify_Successfully_Open_User_Profile - Username""), 0)",Chrome 120.0.0.0,,,2024-01-12 10:09:32,2024-01-12 10:09:32,0.342s,PASSED
"verifyElementPresent(findTestObject(""Object User Profile/verify_Successfully_Open_User_Profile - Registration Date""), 0)",Chrome 120.0.0.0,,,2024-01-12 10:09:32,2024-01-12 10:09:33,0.355s,PASSED
"click(findTestObject(""Object User Profile/tab_completed_program_user_profile""))",Chrome 120.0.0.0,,,2024-01-12 10:09:33,2024-01-12 10:09:33,0.436s,PASSED
"click(findTestObject(""Object User Profile/btn_overview_completed_program_user_profile""))",Chrome 120.0.0.0,,,2024-01-12 10:09:33,2024-01-12 10:09:34,0.536s,PASSED
"click(findTestObject(""Object User Profile/btn_overview_close_completed_program_user_profile""))",Chrome 120.0.0.0,,,2024-01-12 10:09:34,2024-01-12 10:09:34,0.613s,PASSED
,,,,,,,
Test Cases/MoLeaWiz/User Profile/Positive Case/TCMUP05 - User bisa meng-Export Profile pada halam User Profile,Chrome 120.0.0.0,,,2024-01-12 10:09:34,2024-01-12 10:09:43,8.649s,PASSED
"click(findTestObject(""Object Menu/btn_Home_Menu""))",Chrome 120.0.0.0,,,2024-01-12 10:09:35,2024-01-12 10:09:36,0.589s,PASSED
"click(findTestObject(""Object Login/dropdown_User_Profile""))",Chrome 120.0.0.0,,,2024-01-12 10:09:36,2024-01-12 10:09:36,0.835s,PASSED
"click(findTestObject(""Object User Profile/btn_Profile_User_Profile""))",Chrome 120.0.0.0,,,2024-01-12 10:09:36,2024-01-12 10:09:37,0.700s,PASSED
"verifyElementPresent(findTestObject(""Object User Profile/verify_Successfully_Open_User_Profile""), 0)",Chrome 120.0.0.0,,,2024-01-12 10:09:37,2024-01-12 10:09:41,4.072s,PASSED
"verifyElementPresent(findTestObject(""Object User Profile/verify_Successfully_Open_User_Profile - Role""), 0)",Chrome 120.0.0.0,,,2024-01-12 10:09:41,2024-01-12 10:09:42,0.404s,PASSED
"verifyElementPresent(findTestObject(""Object User Profile/verify_Successfully_Open_User_Profile - Username""), 0)",Chrome 120.0.0.0,,,2024-01-12 10:09:42,2024-01-12 10:09:42,0.365s,PASSED
"verifyElementPresent(findTestObject(""Object User Profile/verify_Successfully_Open_User_Profile - Registration Date""), 0)",Chrome 120.0.0.0,,,2024-01-12 10:09:42,2024-01-12 10:09:42,0.355s,PASSED
"click(findTestObject(""Object User Profile/btn_export_profile_user_profile""))",Chrome 120.0.0.0,,,2024-01-12 10:09:42,2024-01-12 10:09:43,0.812s,PASSED
,,,,,,,
Test Cases/MoLeaWiz/User Profile/Positive Case/TCMUP06 - User bisa merubah foto profile pada halaman User Profile,Chrome 120.0.0.0,,,2024-01-12 10:09:43,2024-01-12 10:09:54,10.878s,PASSED
"click(findTestObject(""Object Menu/btn_Home_Menu""))",Chrome 120.0.0.0,,,2024-01-12 10:09:44,2024-01-12 10:09:45,1.780s,PASSED
"click(findTestObject(""Object Login/dropdown_User_Profile""))",Chrome 120.0.0.0,,,2024-01-12 10:09:45,2024-01-12 10:09:46,1.042s,PASSED
"click(findTestObject(""Object User Profile/btn_Profile_User_Profile""))",Chrome 120.0.0.0,,,2024-01-12 10:09:46,2024-01-12 10:09:47,1.060s,PASSED
"verifyElementPresent(findTestObject(""Object User Profile/verify_Successfully_Open_User_Profile""), 0)",Chrome 120.0.0.0,,,2024-01-12 10:09:47,2024-01-12 10:09:52,4.714s,PASSED
"verifyElementPresent(findTestObject(""Object User Profile/verify_Successfully_Open_User_Profile - Role""), 0)",Chrome 120.0.0.0,,,2024-01-12 10:09:52,2024-01-12 10:09:53,0.383s,PASSED
"verifyElementPresent(findTestObject(""Object User Profile/verify_Successfully_Open_User_Profile - Username""), 0)",Chrome 120.0.0.0,,,2024-01-12 10:09:53,2024-01-12 10:09:53,0.365s,PASSED
"verifyElementPresent(findTestObject(""Object User Profile/verify_Successfully_Open_User_Profile - Registration Date""), 0)",Chrome 120.0.0.0,,,2024-01-12 10:09:53,2024-01-12 10:09:53,0.366s,PASSED
"uploadFile(findTestObject(""Object User Profile/upload_photo_profile""), uploadPhoto)",Chrome 120.0.0.0,,,2024-01-12 10:09:53,2024-01-12 10:09:54,0.685s,PASSED
