Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Scenario Postive Case - Help,Chrome 122.0.0.0,,,2024-02-26 11:21:29,2024-02-26 11:22:34,1m - 5.182s,PASSED
,,,,,,,
Test Cases/MoLeaWiz/Help/Positive Case/TCMHC01 - User bisa membuka halaman Help,Chrome 122.0.0.0,,,2024-02-26 11:21:30,2024-02-26 11:21:40,9.992s,PASSED
"click(findTestObject(""Object Menu/btn_Help_Menu""))",Chrome 122.0.0.0,,,2024-02-26 11:21:31,2024-02-26 11:21:36,5.382s,PASSED
"verifyElementPresent(findTestObject(""Object Menu/verify_Successfully_Open_Help_Menu""), 0)",Chrome 122.0.0.0,,,2024-02-26 11:21:36,2024-02-26 11:21:40,3.489s,PASSED
,,,,,,,
Test Cases/MoLeaWiz/Help/Positive Case/TCMHC02 - User bisa membuka list Help FAQ pada halaman Help dan membuka beberapa list collapse help FAQ,Chrome 122.0.0.0,,,2024-02-26 11:21:40,2024-02-26 11:21:45,5.225s,PASSED
"click(findTestObject(""Object Menu/btn_Help_Menu""))",Chrome 122.0.0.0,,,2024-02-26 11:21:41,2024-02-26 11:21:42,0.841s,PASSED
"click(findTestObject(""Object Help/list_faq_help""))",Chrome 122.0.0.0,,,2024-02-26 11:21:42,2024-02-26 11:21:43,0.803s,PASSED
"click(findTestObject(""Object Help/list_collapse_help_index_0""))",Chrome 122.0.0.0,,,2024-02-26 11:21:43,2024-02-26 11:21:43,0.785s,PASSED
"click(findTestObject(""Object Help/list_collapse_help_index_1""))",Chrome 122.0.0.0,,,2024-02-26 11:21:43,2024-02-26 11:21:44,0.784s,PASSED
"click(findTestObject(""Object Help/list_collapse_help_index_1""))",Chrome 122.0.0.0,,,2024-02-26 11:21:44,2024-02-26 11:21:45,1.004s,PASSED
,,,,,,,
Test Cases/MoLeaWiz/Help/Positive Case/TCMHC03 - User bisa membuka list Help Login pada halaman Help dan membuka beberapa list collapse help Login,Chrome 122.0.0.0,,,2024-02-26 11:21:45,2024-02-26 11:21:50,4.415s,PASSED
"click(findTestObject(""Object Menu/btn_Help_Menu""))",Chrome 122.0.0.0,,,2024-02-26 11:21:46,2024-02-26 11:21:47,0.729s,PASSED
"click(findTestObject(""Object Help/list_login_help""))",Chrome 122.0.0.0,,,2024-02-26 11:21:47,2024-02-26 11:21:48,0.908s,PASSED
"click(findTestObject(""Object Help/list_collapse_help_index_0""))",Chrome 122.0.0.0,,,2024-02-26 11:21:48,2024-02-26 11:21:49,0.840s,PASSED
"click(findTestObject(""Object Help/list_collapse_help_index_1""))",Chrome 122.0.0.0,,,2024-02-26 11:21:49,2024-02-26 11:21:50,0.771s,PASSED
,,,,,,,
Test Cases/MoLeaWiz/Help/Positive Case/TCMHC04 - User bisa membuka list Help Profile pada halaman Help dan membuka beberapa list collapse help Profile,Chrome 122.0.0.0,,,2024-02-26 11:21:50,2024-02-26 11:21:54,4.398s,PASSED
"click(findTestObject(""Object Menu/btn_Help_Menu""))",Chrome 122.0.0.0,,,2024-02-26 11:21:51,2024-02-26 11:21:52,0.717s,PASSED
"click(findTestObject(""Object Help/list_profile_help""))",Chrome 122.0.0.0,,,2024-02-26 11:21:52,2024-02-26 11:21:53,1.062s,PASSED
"click(findTestObject(""Object Help/list_collapse_help_index_0""))",Chrome 122.0.0.0,,,2024-02-26 11:21:53,2024-02-26 11:21:53,0.783s,PASSED
"click(findTestObject(""Object Help/list_collapse_help_index_1""))",Chrome 122.0.0.0,,,2024-02-26 11:21:53,2024-02-26 11:21:54,0.773s,PASSED
,,,,,,,
Test Cases/MoLeaWiz/Help/Positive Case/TCMHC05 - User bisa membuka list Help My Learning Journey pada halaman Help dan membuka beberapa list collapse help My Learning Journey,Chrome 122.0.0.0,,,2024-02-26 11:21:54,2024-02-26 11:21:59,4.515s,PASSED
"click(findTestObject(""Object Menu/btn_Help_Menu""))",Chrome 122.0.0.0,,,2024-02-26 11:21:55,2024-02-26 11:21:56,0.849s,PASSED
"click(findTestObject(""Object Help/list_my_learning_journey_help""))",Chrome 122.0.0.0,,,2024-02-26 11:21:56,2024-02-26 11:21:57,0.861s,PASSED
"click(findTestObject(""Object Help/list_collapse_help_index_0""))",Chrome 122.0.0.0,,,2024-02-26 11:21:57,2024-02-26 11:21:58,0.839s,PASSED
"click(findTestObject(""Object Help/list_collapse_help_index_1""))",Chrome 122.0.0.0,,,2024-02-26 11:21:58,2024-02-26 11:21:59,0.753s,PASSED
,,,,,,,
