Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Scenario Negative Case - Forgot Password,Chrome 130.0.0.0,,,08-11-2024 16:24:42,08-11-2024 16:26:43,2m - 0.550s,PASSED
,,,,,,,
Test Cases/MoLeaWiz/Forgot Password/Negative Case/TCFP - Negative case Forgot Password,Chrome 130.0.0.0,,,08-11-2024 16:24:43,08-11-2024 16:26:43,1m - 59.767s,PASSED
openBrowser(base_url_staging),Chrome 130.0.0.0,,,08-11-2024 16:24:44,08-11-2024 16:25:00,15.943s,PASSED
"click(findTestObject(""Object Forgot Password/btn_text_Forgot_Your_Password""), STOP_ON_FAILURE)",Chrome 130.0.0.0,,,08-11-2024 16:25:00,08-11-2024 16:25:02,2.000s,PASSED
"click(findTestObject(""Object Forgot Password/btn_Request_Verification_Code_Forgot_Password""))",Chrome 130.0.0.0,,,08-11-2024 16:25:02,08-11-2024 16:25:03,0.951s,PASSED
"verifyElementVisible(findTestObject(""Object Forgot Password/verify_Unsuccessfully_Change_Password - Invalid username Please try again""), STOP_ON_FAILURE)",Chrome 130.0.0.0,,,08-11-2024 16:25:03,08-11-2024 16:25:04,0.805s,PASSED
delay(3),Chrome 130.0.0.0,,,08-11-2024 16:25:04,08-11-2024 16:25:07,3.165s,PASSED
"click(findTestObject(""Object Forgot Password/btn_Back_Forgot_Password""))",Chrome 130.0.0.0,,,08-11-2024 16:25:07,08-11-2024 16:25:08,0.646s,PASSED
"click(findTestObject(""Object Forgot Password/btn_text_Forgot_Your_Password""), STOP_ON_FAILURE)",Chrome 130.0.0.0,,,08-11-2024 16:25:08,08-11-2024 16:25:09,0.839s,PASSED
"setText(findTestObject(""Object Forgot Password/input_Username_Forgot_Password""), usernameInvalid)",Chrome 130.0.0.0,,,08-11-2024 16:25:09,08-11-2024 16:25:10,1.584s,PASSED
"click(findTestObject(""Object Forgot Password/btn_Request_Verification_Code_Forgot_Password""))",Chrome 130.0.0.0,,,08-11-2024 16:25:10,08-11-2024 16:25:11,0.656s,PASSED
"verifyElementVisible(findTestObject(""Object Forgot Password/verify_Unsuccessfully_Change_Password - Invalid username Please try again""), STOP_ON_FAILURE)",Chrome 130.0.0.0,,,08-11-2024 16:25:11,08-11-2024 16:25:15,3.770s,PASSED
delay(3),Chrome 130.0.0.0,,,08-11-2024 16:25:15,08-11-2024 16:25:18,3.017s,PASSED
"click(findTestObject(""Object Forgot Password/btn_Back_Forgot_Password""))",Chrome 130.0.0.0,,,08-11-2024 16:25:18,08-11-2024 16:25:18,0.797s,PASSED
"click(findTestObject(""Object Forgot Password/btn_text_Forgot_Your_Password""), STOP_ON_FAILURE)",Chrome 130.0.0.0,,,08-11-2024 16:25:18,08-11-2024 16:25:19,0.955s,PASSED
"click(findTestObject(""Object Forgot Password/btn_Icon_Back_Forgot_Password""))",Chrome 130.0.0.0,,,08-11-2024 16:25:19,08-11-2024 16:25:20,1.002s,PASSED
"click(findTestObject(""Object Forgot Password/btn_text_Forgot_Your_Password""), STOP_ON_FAILURE)",Chrome 130.0.0.0,,,08-11-2024 16:25:20,08-11-2024 16:25:21,0.770s,PASSED
"setText(findTestObject(""Object Forgot Password/input_Username_Forgot_Password""), usernameGeneral)",Chrome 130.0.0.0,,,08-11-2024 16:25:21,08-11-2024 16:25:23,1.670s,PASSED
"click(findTestObject(""Object Forgot Password/btn_Request_Verification_Code_Forgot_Password""))",Chrome 130.0.0.0,,,08-11-2024 16:25:23,08-11-2024 16:25:24,0.688s,PASSED
"click(findTestObject(""Object Forgot Password/btn_Verify_Forgot_Password""))",Chrome 130.0.0.0,,,08-11-2024 16:25:24,08-11-2024 16:25:27,3.885s,PASSED
"verifyElementVisible(findTestObject(""Object Forgot Password/verify_Unsuccessfully_Change_Password - The verification code you entered is incorrect""), STOP_ON_FAILURE)",Chrome 130.0.0.0,,,08-11-2024 16:25:27,08-11-2024 16:25:28,0.730s,PASSED
delay(3),Chrome 130.0.0.0,,,08-11-2024 16:25:28,08-11-2024 16:25:31,3.026s,PASSED
"click(findTestObject(""Object Forgot Password/btn_Back_Forgot_Password""))",Chrome 130.0.0.0,,,08-11-2024 16:25:31,08-11-2024 16:25:32,0.833s,PASSED
"click(findTestObject(""Object Forgot Password/btn_Back_Forgot_Password""))",Chrome 130.0.0.0,,,08-11-2024 16:25:32,08-11-2024 16:25:33,0.755s,PASSED
"click(findTestObject(""Object Forgot Password/btn_text_Forgot_Your_Password""), STOP_ON_FAILURE)",Chrome 130.0.0.0,,,08-11-2024 16:25:33,08-11-2024 16:25:34,0.980s,PASSED
"click(findTestObject(""Object Forgot Password/btn_Icon_Back_Forgot_Password""))",Chrome 130.0.0.0,,,08-11-2024 16:25:34,08-11-2024 16:25:35,0.886s,PASSED
"click(findTestObject(""Object Forgot Password/btn_text_Forgot_Your_Password""), STOP_ON_FAILURE)",Chrome 130.0.0.0,,,08-11-2024 16:25:35,08-11-2024 16:25:36,0.985s,PASSED
"setText(findTestObject(""Object Forgot Password/input_Username_Forgot_Password""), usernameDummy2)",Chrome 130.0.0.0,,,08-11-2024 16:25:36,08-11-2024 16:25:37,1.566s,PASSED
"click(findTestObject(""Object Forgot Password/btn_Request_Verification_Code_Forgot_Password""))",Chrome 130.0.0.0,,,08-11-2024 16:25:37,08-11-2024 16:25:38,0.690s,PASSED
"setText(findTestObject(""Object Forgot Password/input_Verification_Code_Forgot_Password""), ""12345"")",Chrome 130.0.0.0,,,08-11-2024 16:25:38,08-11-2024 16:25:42,4.252s,PASSED
"click(findTestObject(""Object Forgot Password/btn_Verify_Forgot_Password""))",Chrome 130.0.0.0,,,08-11-2024 16:25:42,08-11-2024 16:25:43,0.815s,PASSED
"click(findTestObject(""Object Forgot Password/input_Verification_Code_Forgot_Password""), STOP_ON_FAILURE)",Chrome 130.0.0.0,,,08-11-2024 16:25:43,08-11-2024 16:25:45,1.689s,PASSED
"sendKeys(findTestObject(""Object Forgot Password/input_Verification_Code_Forgot_Password""), Keys.chord(CONTROL, ""a""))",Chrome 130.0.0.0,,,08-11-2024 16:25:45,08-11-2024 16:25:46,0.826s,PASSED
"sendKeys(findTestObject(""Object Forgot Password/input_Verification_Code_Forgot_Password""), Keys.chord(BACK_SPACE))",Chrome 130.0.0.0,,,08-11-2024 16:25:46,08-11-2024 16:25:46,0.672s,PASSED
"setText(findTestObject(""Object Forgot Password/input_Verification_Code_Forgot_Password""), ""12345"")",Chrome 130.0.0.0,,,08-11-2024 16:25:46,08-11-2024 16:25:47,1.166s,PASSED
"click(findTestObject(""Object Forgot Password/btn_Verify_Forgot_Password""))",Chrome 130.0.0.0,,,08-11-2024 16:25:47,08-11-2024 16:25:48,0.650s,PASSED
"click(findTestObject(""Object Forgot Password/input_Verification_Code_Forgot_Password""), STOP_ON_FAILURE)",Chrome 130.0.0.0,,,08-11-2024 16:25:48,08-11-2024 16:25:49,0.948s,PASSED
"sendKeys(findTestObject(""Object Forgot Password/input_Verification_Code_Forgot_Password""), Keys.chord(CONTROL, ""a""))",Chrome 130.0.0.0,,,08-11-2024 16:25:49,08-11-2024 16:25:50,0.584s,PASSED
"sendKeys(findTestObject(""Object Forgot Password/input_Verification_Code_Forgot_Password""), Keys.chord(BACK_SPACE))",Chrome 130.0.0.0,,,08-11-2024 16:25:50,08-11-2024 16:25:50,0.625s,PASSED
"setText(findTestObject(""Object Forgot Password/input_Verification_Code_Forgot_Password""), ""12345"")",Chrome 130.0.0.0,,,08-11-2024 16:25:50,08-11-2024 16:25:51,1.008s,PASSED
"click(findTestObject(""Object Forgot Password/btn_Verify_Forgot_Password""))",Chrome 130.0.0.0,,,08-11-2024 16:25:51,08-11-2024 16:25:52,0.626s,PASSED
"verifyElementVisible(findTestObject(""Object Forgot Password/verify_Unsuccessfully_Change_Password - Too many failed verify attempts""), STOP_ON_FAILURE)",Chrome 130.0.0.0,,,08-11-2024 16:25:52,08-11-2024 16:25:53,0.873s,PASSED
delay(3),Chrome 130.0.0.0,,,08-11-2024 16:25:53,08-11-2024 16:25:56,3.017s,PASSED
"click(findTestObject(""Object Forgot Password/btn_Back_Forgot_Password""))",Chrome 130.0.0.0,,,08-11-2024 16:25:56,08-11-2024 16:25:56,0.795s,PASSED
"click(findTestObject(""Object Forgot Password/btn_Back_Forgot_Password""))",Chrome 130.0.0.0,,,08-11-2024 16:25:56,08-11-2024 16:25:57,0.918s,PASSED
"click(findTestObject(""Object Forgot Password/btn_text_Forgot_Your_Password""), STOP_ON_FAILURE)",Chrome 130.0.0.0,,,08-11-2024 16:25:57,08-11-2024 16:25:58,0.966s,PASSED
"click(findTestObject(""Object Forgot Password/btn_Icon_Back_Forgot_Password""))",Chrome 130.0.0.0,,,08-11-2024 16:25:58,08-11-2024 16:25:59,0.816s,PASSED
"click(findTestObject(""Object Forgot Password/btn_text_Forgot_Your_Password""), STOP_ON_FAILURE)",Chrome 130.0.0.0,,,08-11-2024 16:25:59,08-11-2024 16:26:00,0.939s,PASSED
"setText(findTestObject(""Object Forgot Password/input_Username_Forgot_Password""), usernameDummy2)",Chrome 130.0.0.0,,,08-11-2024 16:26:00,08-11-2024 16:26:02,1.451s,PASSED
"click(findTestObject(""Object Forgot Password/btn_Request_Verification_Code_Forgot_Password""))",Chrome 130.0.0.0,,,08-11-2024 16:26:02,08-11-2024 16:26:02,0.718s,PASSED
"comment(""Delay for input verification code by manually"")",Chrome 130.0.0.0,,,08-11-2024 16:26:02,08-11-2024 16:26:02,0.163s,PASSED
"delay(30, STOP_ON_FAILURE)",Chrome 130.0.0.0,,,08-11-2024 16:26:02,08-11-2024 16:26:33,30.037s,PASSED
"click(findTestObject(""Object Forgot Password/btn_Verify_Forgot_Password""))",Chrome 130.0.0.0,,,08-11-2024 16:26:33,08-11-2024 16:26:33,0.766s,PASSED
"setText(findTestObject(""Object Forgot Password/input_New_Password_Change_Password""), ""12345"")",Chrome 130.0.0.0,,,08-11-2024 16:26:33,08-11-2024 16:26:35,1.918s,PASSED
"click(findTestObject(""Object Forgot Password/btn_Hide_Change_Password""))",Chrome 130.0.0.0,,,08-11-2024 16:26:35,08-11-2024 16:26:36,0.602s,PASSED
"setText(findTestObject(""Object Forgot Password/input_Confirm_New_Password_Change_Password""), ""123456"")",Chrome 130.0.0.0,,,08-11-2024 16:26:36,08-11-2024 16:26:37,1.196s,PASSED
"click(findTestObject(""Object Forgot Password/btn_Change_Password""), STOP_ON_FAILURE)",Chrome 130.0.0.0,,,08-11-2024 16:26:37,08-11-2024 16:26:38,0.775s,PASSED
"verifyElementVisible(findTestObject(""Object Forgot Password/verify_Unsuccessfully_Change_Password - The password doesnt match Please review your input""), STOP_ON_FAILURE)",Chrome 130.0.0.0,,,08-11-2024 16:26:38,08-11-2024 16:26:38,0.665s,PASSED
delay(3),Chrome 130.0.0.0,,,08-11-2024 16:26:38,08-11-2024 16:26:41,3.019s,PASSED
closeBrowser(),Chrome 130.0.0.0,,,08-11-2024 16:26:41,08-11-2024 16:26:43,1.266s,PASSED
