Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Scenario Negative Case - Login,Chrome 130.0.0.0,,,07-11-2024 15:46:48,07-11-2024 15:47:33,45.094s,PASSED
,,,,,,,
Test Cases/MoLeaWiz/Login/Negative Case/TCML - Negative Case Login,Chrome 130.0.0.0,,,07-11-2024 15:46:48,07-11-2024 15:47:33,44.952s,PASSED
openBrowser(base_url_staging),Chrome 130.0.0.0,,,07-11-2024 15:46:48,07-11-2024 15:46:52,3.480s,PASSED
"click(findTestObject(""Object Login/btn_login""))",Chrome 130.0.0.0,,,07-11-2024 15:46:52,07-11-2024 15:46:52,0.681s,PASSED
"verifyElementVisible(findTestObject(""Object Login/verify_Unsuccessfully_Login - Please fill your username, password, and answer""), STOP_ON_FAILURE)",Chrome 130.0.0.0,,,07-11-2024 15:46:52,07-11-2024 15:46:53,0.487s,PASSED
delay(3),Chrome 130.0.0.0,,,07-11-2024 15:46:53,07-11-2024 15:46:56,3.024s,PASSED
refresh(),Chrome 130.0.0.0,,,07-11-2024 15:46:56,07-11-2024 15:46:56,0.139s,PASSED
"setText(findTestObject(""Object Login/input_Username_Login""), usernameGeneral)",Chrome 130.0.0.0,,,07-11-2024 15:46:56,07-11-2024 15:46:57,1.090s,PASSED
"click(findTestObject(""Object Login/btn_login""))",Chrome 130.0.0.0,,,07-11-2024 15:46:57,07-11-2024 15:46:57,0.336s,PASSED
"verifyElementVisible(findTestObject(""Object Login/verify_Unsuccessfully_Login - Please fill your password and answer""), STOP_ON_FAILURE)",Chrome 130.0.0.0,,,07-11-2024 15:46:57,07-11-2024 15:46:58,0.465s,PASSED
delay(3),Chrome 130.0.0.0,,,07-11-2024 15:46:58,07-11-2024 15:47:01,3.006s,PASSED
refresh(),Chrome 130.0.0.0,,,07-11-2024 15:47:01,07-11-2024 15:47:01,0.160s,PASSED
"setText(findTestObject(""Object Login/input_Username_Login""), invalidUsername)",Chrome 130.0.0.0,,,07-11-2024 15:47:01,07-11-2024 15:47:02,0.991s,PASSED
