Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Scenario Negative Case - Login,Chrome 118.0.0.0,,,2023-10-13 23:19:48,2023-10-13 23:21:10,1m - 22.106s,FAILED
,,,,,,,
Test Cases/MoLeaWiz/Login/Negative Case/TCML03 - User cant Login with empty all mandatory field,Chrome 118.0.0.0,,,2023-10-13 23:19:48,2023-10-13 23:20:08,19.341s,PASSED
openBrowser(base_url),Chrome 118.0.0.0,,,2023-10-13 23:19:48,2023-10-13 23:19:52,3.393s,PASSED
"click(findTestObject(""Object Login/btn_login""))",Chrome 118.0.0.0,,,2023-10-13 23:19:52,2023-10-13 23:20:04,12.376s,PASSED
"verifyElementVisible(findTestObject(""Object Login/verify_Unsuccessfully_Login - Please fill your username, password, and answer""), STOP_ON_FAILURE)",Chrome 118.0.0.0,,,2023-10-13 23:20:04,2023-10-13 23:20:05,0.580s,PASSED
delay(2),Chrome 118.0.0.0,,,2023-10-13 23:20:05,2023-10-13 23:20:07,2.031s,PASSED
closeBrowser(),Chrome 118.0.0.0,,,2023-10-13 23:20:07,2023-10-13 23:20:08,0.646s,PASSED
,,,,,,,
Test Cases/MoLeaWiz/Login/Negative Case/TCML04 - User cant Login with valid username and empty Password and Your answer,Chrome 118.0.0.0,,,2023-10-13 23:20:08,2023-10-13 23:20:14,6.909s,PASSED
openBrowser(base_url),Chrome 118.0.0.0,,,2023-10-13 23:20:08,2023-10-13 23:20:10,1.925s,PASSED
"setText(findTestObject(""Object Login/input_Username_Login""), usernameMoLeaWizOutlook)",Chrome 118.0.0.0,,,2023-10-13 23:20:10,2023-10-13 23:20:11,1.235s,PASSED
"click(findTestObject(""Object Login/btn_login""))",Chrome 118.0.0.0,,,2023-10-13 23:20:11,2023-10-13 23:20:11,0.391s,PASSED
"verifyElementVisible(findTestObject(""Object Login/verify_Unsuccessfully_Login - Please fill your password and answer""), STOP_ON_FAILURE)",Chrome 118.0.0.0,,,2023-10-13 23:20:11,2023-10-13 23:20:12,0.484s,PASSED
delay(2),Chrome 118.0.0.0,,,2023-10-13 23:20:12,2023-10-13 23:20:14,2.011s,PASSED
closeBrowser(),Chrome 118.0.0.0,,,2023-10-13 23:20:14,2023-10-13 23:20:14,0.641s,PASSED
,,,,,,,
Test Cases/MoLeaWiz/Login/Negative Case/TCML05 - User cant Login with invalid username and password,Chrome 118.0.0.0,,,2023-10-13 23:20:14,2023-10-13 23:20:24,9.755s,PASSED
openBrowser(base_url),Chrome 118.0.0.0,,,2023-10-13 23:20:15,2023-10-13 23:20:16,1.795s,PASSED
"setText(findTestObject(""Object Login/input_Username_Login""), invalidUsername)",Chrome 118.0.0.0,,,2023-10-13 23:20:16,2023-10-13 23:20:17,1.003s,PASSED
"setText(findTestObject(""Object Login/input_Password_Login""), invalidPassword)",Chrome 118.0.0.0,,,2023-10-13 23:20:17,2023-10-13 23:20:18,0.675s,PASSED
"comment(""function captcha your answer"")",Chrome 118.0.0.0,,,2023-10-13 23:20:18,2023-10-13 23:20:18,0.007s,PASSED
keywordFunctionLogin.FunctionCaptchaLogin.automationCaptcha(),Chrome 118.0.0.0,,,2023-10-13 23:20:18,2023-10-13 23:20:19,1.175s,PASSED
"click(findTestObject(""Object Login/btn_login""))",Chrome 118.0.0.0,,,2023-10-13 23:20:19,2023-10-13 23:20:20,0.565s,PASSED
"verifyElementVisible(findTestObject(""Object Login/verify_Unsuccessfully_Login - Invalid login credentials Please try again""), STOP_ON_FAILURE)",Chrome 118.0.0.0,,,2023-10-13 23:20:20,2023-10-13 23:20:21,0.660s,PASSED
delay(3),Chrome 118.0.0.0,,,2023-10-13 23:20:21,2023-10-13 23:20:24,3.017s,PASSED
closeBrowser(),Chrome 118.0.0.0,,,2023-10-13 23:20:24,2023-10-13 23:20:24,0.631s,PASSED
,,,,,,,
Test Cases/MoLeaWiz/Login/Negative Case/TCML06 - User Login with empty username and empty Password,Chrome 118.0.0.0,,,2023-10-13 23:20:24,2023-10-13 23:20:31,6.956s,PASSED
openBrowser(base_url),Chrome 118.0.0.0,,,2023-10-13 23:20:24,2023-10-13 23:20:26,1.834s,PASSED
"comment(""function captcha your answer"")",Chrome 118.0.0.0,,,2023-10-13 23:20:26,2023-10-13 23:20:26,0.002s,PASSED
keywordFunctionLogin.FunctionCaptchaLogin.automationCaptcha(),Chrome 118.0.0.0,,,2023-10-13 23:20:26,2023-10-13 23:20:28,1.303s,PASSED
"click(findTestObject(""Object Login/btn_login""))",Chrome 118.0.0.0,,,2023-10-13 23:20:28,2023-10-13 23:20:28,0.379s,PASSED
"verifyElementPresent(findTestObject(""Object Login/verify_Unsuccessfully_Login - Please fill your username and password""), 0)",Chrome 118.0.0.0,,,2023-10-13 23:20:28,2023-10-13 23:20:28,0.542s,PASSED
delay(2),Chrome 118.0.0.0,,,2023-10-13 23:20:28,2023-10-13 23:20:31,2.012s,PASSED
closeBrowser(),Chrome 118.0.0.0,,,2023-10-13 23:20:31,2023-10-13 23:20:31,0.630s,PASSED
,,,,,,,
Test Cases/MoLeaWiz/Login/Negative Case/TCML07 - User Login with empty Your Answer,Chrome 118.0.0.0,,,2023-10-13 23:20:31,2023-10-13 23:20:39,7.445s,PASSED
openBrowser(base_url),Chrome 118.0.0.0,,,2023-10-13 23:20:31,2023-10-13 23:20:33,1.766s,PASSED
"setText(findTestObject(""Object Login/input_Username_Login""), usernameMoLeaWizOutlook)",Chrome 118.0.0.0,,,2023-10-13 23:20:33,2023-10-13 23:20:34,1.061s,PASSED
"setText(findTestObject(""Object Login/input_Password_Login""), passwordMoLeaWizOutlook)",Chrome 118.0.0.0,,,2023-10-13 23:20:34,2023-10-13 23:20:35,0.667s,PASSED
"click(findTestObject(""Object Login/btn_login""))",Chrome 118.0.0.0,,,2023-10-13 23:20:35,2023-10-13 23:20:35,0.571s,PASSED
"verifyElementPresent(findTestObject(""Object Login/verify_Unsuccessfully_Login - Please fill your answer""), 0)",Chrome 118.0.0.0,,,2023-10-13 23:20:35,2023-10-13 23:20:36,0.533s,PASSED
delay(2),Chrome 118.0.0.0,,,2023-10-13 23:20:36,2023-10-13 23:20:38,2.009s,PASSED
closeBrowser(),Chrome 118.0.0.0,,,2023-10-13 23:20:38,2023-10-13 23:20:39,0.629s,PASSED
,,,,,,,
Test Cases/MoLeaWiz/Login/Negative Case/TCML08 - User cant login because to many try login with invalid username and password,Chrome 118.0.0.0,,,2023-10-13 23:20:39,2023-10-13 23:21:10,31.450s,FAILED
openBrowser(base_url),Chrome 118.0.0.0,,,2023-10-13 23:20:39,2023-10-13 23:20:41,1.787s,PASSED
"setText(findTestObject(""Object Login/input_Username_Login""), invalidUsername)",Chrome 118.0.0.0,,,2023-10-13 23:20:41,2023-10-13 23:20:42,1.006s,PASSED
"setText(findTestObject(""Object Login/input_Password_Login""), invalidPassword)",Chrome 118.0.0.0,,,2023-10-13 23:20:42,2023-10-13 23:20:42,0.646s,PASSED
"comment(""function captcha your answer"")",Chrome 118.0.0.0,,,2023-10-13 23:20:42,2023-10-13 23:20:42,0.002s,PASSED
keywordFunctionLogin.FunctionCaptchaLogin.automationCaptcha(),Chrome 118.0.0.0,,,2023-10-13 23:20:42,2023-10-13 23:20:43,1.189s,PASSED
"click(findTestObject(""Object Login/btn_login""))",Chrome 118.0.0.0,,,2023-10-13 23:20:43,2023-10-13 23:20:44,0.559s,PASSED
delay(2),Chrome 118.0.0.0,,,2023-10-13 23:20:44,2023-10-13 23:20:46,2.014s,PASSED
"click(findTestObject(""Object Login/btn_login""))",Chrome 118.0.0.0,,,2023-10-13 23:20:46,2023-10-13 23:20:47,0.561s,PASSED
delay(2),Chrome 118.0.0.0,,,2023-10-13 23:20:47,2023-10-13 23:20:49,2.010s,PASSED
"click(findTestObject(""Object Login/btn_login""))",Chrome 118.0.0.0,,,2023-10-13 23:20:49,2023-10-13 23:20:49,0.554s,PASSED
delay(2),Chrome 118.0.0.0,,,2023-10-13 23:20:49,2023-10-13 23:20:51,2.018s,PASSED
"click(findTestObject(""Object Login/btn_login""))",Chrome 118.0.0.0,,,2023-10-13 23:20:51,2023-10-13 23:20:52,0.557s,PASSED
delay(2),Chrome 118.0.0.0,,,2023-10-13 23:20:52,2023-10-13 23:20:54,2.017s,PASSED
"verifyElementVisible(findTestObject(""Object Login/verify_Unsuccessfully_Login - Too many failed login attempts Please try again in 1 minutes""), STOP_ON_FAILURE)",Chrome 118.0.0.0,,,2023-10-13 23:20:54,2023-10-13 23:21:10,16.295s,FAILED
