Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Scenario Postive Case - Help,Chrome 122.0.0.0,,,2024-02-26 10:41:49,2024-02-26 10:43:59,2m - 9.176s,FAILED
,,,,,,,
Test Cases/MoLeaWiz/Help/Positive Case/TCMHC01 - User bisa membuka halaman Help,Chrome 122.0.0.0,,,2024-02-26 10:41:50,2024-02-26 10:42:01,10.761s,PASSED
"click(findTestObject(""Object Menu/btn_Help_Menu""))",Chrome 122.0.0.0,,,2024-02-26 10:41:51,2024-02-26 10:41:56,5.299s,PASSED
"verifyElementPresent(findTestObject(""Object Menu/verify_Successfully_Open_Help_Menu""), 0)",Chrome 122.0.0.0,,,2024-02-26 10:41:56,2024-02-26 10:42:01,4.519s,PASSED
,,,,,,,
Test Cases/MoLeaWiz/Help/Positive Case/TCMHC02 - User bisa membuka list Help FAQ pada halaman Help dan membuka beberapa list collapse help FAQ,Chrome 122.0.0.0,,,2024-02-26 10:42:01,2024-02-26 10:42:06,5.271s,PASSED
"click(findTestObject(""Object Menu/btn_Help_Menu""))",Chrome 122.0.0.0,,,2024-02-26 10:42:02,2024-02-26 10:42:03,0.908s,PASSED
"click(findTestObject(""Object Help/list_faq_help""))",Chrome 122.0.0.0,,,2024-02-26 10:42:03,2024-02-26 10:42:04,0.818s,PASSED
"click(findTestObject(""Object Help/list_collapse_help_index_0""))",Chrome 122.0.0.0,,,2024-02-26 10:42:04,2024-02-26 10:42:04,0.705s,PASSED
"click(findTestObject(""Object Help/list_collapse_help_index_1""))",Chrome 122.0.0.0,,,2024-02-26 10:42:04,2024-02-26 10:42:05,0.811s,PASSED
"click(findTestObject(""Object Help/list_collapse_help_index_1""))",Chrome 122.0.0.0,,,2024-02-26 10:42:05,2024-02-26 10:42:06,0.958s,PASSED
,,,,,,,
Test Cases/MoLeaWiz/Help/Positive Case/TCMHC03 - User bisa membuka list Help Login pada halaman Help dan membuka beberapa list collapse help Login,Chrome 122.0.0.0,,,2024-02-26 10:42:06,2024-02-26 10:42:11,4.663s,PASSED
"click(findTestObject(""Object Menu/btn_Help_Menu""))",Chrome 122.0.0.0,,,2024-02-26 10:42:07,2024-02-26 10:42:08,0.660s,PASSED
"click(findTestObject(""Object Help/list_login_help""))",Chrome 122.0.0.0,,,2024-02-26 10:42:08,2024-02-26 10:42:09,0.972s,PASSED
"click(findTestObject(""Object Help/list_collapse_help_index_0""))",Chrome 122.0.0.0,,,2024-02-26 10:42:09,2024-02-26 10:42:10,0.783s,PASSED
"click(findTestObject(""Object Help/list_collapse_help_index_1""))",Chrome 122.0.0.0,,,2024-02-26 10:42:10,2024-02-26 10:42:11,0.905s,PASSED
,,,,,,,
Test Cases/MoLeaWiz/Help/Positive Case/TCMHC04 - User bisa membuka list Help Profile pada halaman Help dan membuka beberapa list collapse help Profile,Chrome 122.0.0.0,,,2024-02-26 10:42:11,2024-02-26 10:42:16,4.632s,PASSED
"click(findTestObject(""Object Menu/btn_Help_Menu""))",Chrome 122.0.0.0,,,2024-02-26 10:42:12,2024-02-26 10:42:13,0.832s,PASSED
"click(findTestObject(""Object Help/list_profile_help""))",Chrome 122.0.0.0,,,2024-02-26 10:42:13,2024-02-26 10:42:14,0.912s,PASSED
"click(findTestObject(""Object Help/list_collapse_help_index_0""))",Chrome 122.0.0.0,,,2024-02-26 10:42:14,2024-02-26 10:42:15,0.831s,PASSED
"click(findTestObject(""Object Help/list_collapse_help_index_1""))",Chrome 122.0.0.0,,,2024-02-26 10:42:15,2024-02-26 10:42:15,0.904s,PASSED
,,,,,,,
