Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"setText(findTestObject(""Object Forgot Password/input_Verification_Code_Forgot_Password""), ""12345"")",Chrome 119.0.0.0,,,2023-11-09 21:13:10,2023-11-09 21:13:13,3.106s,PASSED
"click(findTestObject(""Object Forgot Password/btn_Verify_Forgot_Password""))",Chrome 119.0.0.0,,,2023-11-09 21:13:13,2023-11-09 21:13:14,0.654s,PASSED
"click(findTestObject(""Object Forgot Password/input_Verification_Code_Forgot_Password""), STOP_ON_FAILURE)",Chrome 119.0.0.0,,,2023-11-09 21:13:14,2023-11-09 21:13:15,1.061s,PASSED
"sendKeys(findTestObject(""Object Forgot Password/input_Verification_Code_Forgot_Password""), Keys.chord(CONTROL, ""a""))",Chrome 119.0.0.0,,,2023-11-09 21:13:15,2023-11-09 21:13:15,0.349s,PASSED
"sendKeys(findTestObject(""Object Forgot Password/input_Verification_Code_Forgot_Password""), Keys.chord(BACK_SPACE))",Chrome 119.0.0.0,,,2023-11-09 21:13:15,2023-11-09 21:13:16,0.650s,PASSED
"setText(findTestObject(""Object Forgot Password/input_Verification_Code_Forgot_Password""), ""12345"")",Chrome 119.0.0.0,,,2023-11-09 21:13:16,2023-11-09 21:13:17,1.254s,PASSED
"click(findTestObject(""Object Forgot Password/btn_Verify_Forgot_Password""))",Chrome 119.0.0.0,,,2023-11-09 21:13:17,2023-11-09 21:13:18,0.755s,PASSED
"click(findTestObject(""Object Forgot Password/input_Verification_Code_Forgot_Password""), STOP_ON_FAILURE)",Chrome 119.0.0.0,,,2023-11-09 21:13:18,2023-11-09 21:13:19,0.958s,PASSED
"sendKeys(findTestObject(""Object Forgot Password/input_Verification_Code_Forgot_Password""), Keys.chord(CONTROL, ""a""))",Chrome 119.0.0.0,,,2023-11-09 21:13:19,2023-11-09 21:13:19,0.341s,PASSED
"sendKeys(findTestObject(""Object Forgot Password/input_Verification_Code_Forgot_Password""), Keys.chord(BACK_SPACE))",Chrome 119.0.0.0,,,2023-11-09 21:13:19,2023-11-09 21:13:20,0.644s,PASSED
"setText(findTestObject(""Object Forgot Password/input_Verification_Code_Forgot_Password""), ""12345"")",Chrome 119.0.0.0,,,2023-11-09 21:13:20,2023-11-09 21:13:21,1.358s,PASSED
"click(findTestObject(""Object Forgot Password/btn_Verify_Forgot_Password""))",Chrome 119.0.0.0,,,2023-11-09 21:13:21,2023-11-09 21:13:22,0.654s,PASSED
"verifyElementVisible(findTestObject(""Object Forgot Password/verify_Unsuccessfully_Change_Password - Too many failed verify attempts""), STOP_ON_FAILURE)",Chrome 119.0.0.0,,,2023-11-09 21:13:22,2023-11-09 21:13:23,0.997s,PASSED
delay(3),Chrome 119.0.0.0,,,2023-11-09 21:13:23,2023-11-09 21:13:26,3.001s,PASSED
closeBrowser(),Chrome 119.0.0.0,,,2023-11-09 21:13:26,2023-11-09 21:13:26,0.583s,PASSED
,,,,,,,
Test Cases/MoLeaWiz/Forgot Password/Negative Case/TCFP06 - User tidak dapat mengubah kata sandi di Forgot Password dengan tidak samanya inputan New Password dan Confirm New Password,Chrome 119.0.0.0,,,2023-11-09 21:13:26,2023-11-09 21:14:14,47.727s,PASSED
openBrowser(base_url),Chrome 119.0.0.0,,,2023-11-09 21:13:26,2023-11-09 21:13:33,6.435s,PASSED
"click(findTestObject(""Object Forgot Password/btn_text_Forgot_Your_Password""), STOP_ON_FAILURE)",Chrome 119.0.0.0,,,2023-11-09 21:13:33,2023-11-09 21:13:34,0.709s,PASSED
"click(findTestObject(""Object Forgot Password/btn_Icon_Back_Forgot_Password""))",Chrome 119.0.0.0,,,2023-11-09 21:13:34,2023-11-09 21:13:34,0.659s,PASSED
"click(findTestObject(""Object Forgot Password/btn_text_Forgot_Your_Password""), STOP_ON_FAILURE)",Chrome 119.0.0.0,,,2023-11-09 21:13:34,2023-11-09 21:13:35,0.571s,PASSED
"setText(findTestObject(""Object Forgot Password/input_Username_Forgot_Password""), usernameTesterHafizh)",Chrome 119.0.0.0,,,2023-11-09 21:13:35,2023-11-09 21:13:36,0.890s,PASSED
"click(findTestObject(""Object Forgot Password/btn_Request_Verification_Code_Forgot_Password""))",Chrome 119.0.0.0,,,2023-11-09 21:13:36,2023-11-09 21:13:36,0.350s,PASSED
"comment(""Delay for input verification code by manually"")",Chrome 119.0.0.0,,,2023-11-09 21:13:36,2023-11-09 21:13:36,0.007s,PASSED
"delay(30, STOP_ON_FAILURE)",Chrome 119.0.0.0,,,2023-11-09 21:13:36,2023-11-09 21:14:06,30.003s,PASSED
"click(findTestObject(""Object Forgot Password/btn_Verify_Forgot_Password""))",Chrome 119.0.0.0,,,2023-11-09 21:14:06,2023-11-09 21:14:07,0.654s,PASSED
"setText(findTestObject(""Object Forgot Password/input_New_Password_Forgot_Password""), ""12345"")",Chrome 119.0.0.0,,,2023-11-09 21:14:07,2023-11-09 21:14:08,1.160s,PASSED
"click(findTestObject(""Object Forgot Password/btn_Icon_Hide_UnHide_Password_Forgot_Password""))",Chrome 119.0.0.0,,,2023-11-09 21:14:08,2023-11-09 21:14:08,0.549s,PASSED
"setText(findTestObject(""Object Forgot Password/input_Confirm_New_Password_Forgot_Password""), ""123456"")",Chrome 119.0.0.0,,,2023-11-09 21:14:08,2023-11-09 21:14:09,0.863s,PASSED
"click(findTestObject(""Object Forgot Password/btn_Change_Password_Forgot_Password""), STOP_ON_FAILURE)",Chrome 119.0.0.0,,,2023-11-09 21:14:09,2023-11-09 21:14:10,0.562s,PASSED
"verifyElementVisible(findTestObject(""Object Forgot Password/verify_Unsuccessfully_Change_Password - The password doesnt match Please review your input""), STOP_ON_FAILURE)",Chrome 119.0.0.0,,,2023-11-09 21:14:10,2023-11-09 21:14:10,0.487s,PASSED
delay(3),Chrome 119.0.0.0,,,2023-11-09 21:14:10,2023-11-09 21:14:13,3.001s,PASSED
closeBrowser(),Chrome 119.0.0.0,,,2023-11-09 21:14:13,2023-11-09 21:14:14,0.606s,PASSED
