Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Scenario Positive Case - Home,Chrome 118.0.0.0,,,2023-11-03 13:37:03,2023-11-03 13:37:09,6.433s,PASSED
,,,,,,,
Test Cases/MoLeaWiz/Home/Positive Case/TCMH01 - User Open My Learning Journey,Chrome 118.0.0.0,,,2023-11-03 13:37:03,2023-11-03 13:37:06,3.413s,PASSED
"click(findTestObject(""Object Menu/btn_Collapse_Menu""))",Chrome 118.0.0.0,,,2023-11-03 13:37:03,2023-11-03 13:37:06,2.086s,PASSED
"click(findTestObject(""Object Menu/btn_My_Learning_Journey_Menu""))",Chrome 118.0.0.0,,,2023-11-03 13:37:06,2023-11-03 13:37:06,0.927s,PASSED
,,,,,,,
Test Cases/MoLeaWiz/Home/Positive Case/TCMH02 - User Open Achievements,Chrome 118.0.0.0,,,2023-11-03 13:37:06,2023-11-03 13:37:07,0.876s,PASSED
"click(findTestObject(""Object Menu/btn_Achievements_Menu""))",Chrome 118.0.0.0,,,2023-11-03 13:37:07,2023-11-03 13:37:07,0.489s,PASSED
,,,,,,,
Test Cases/MoLeaWiz/Home/Positive Case/TCMH08 - User Open Home,Chrome 118.0.0.0,,,2023-11-03 13:37:07,2023-11-03 13:37:09,1.793s,PASSED
"click(findTestObject(""Object Menu/btn_Home_Menu""))",Chrome 118.0.0.0,,,2023-11-03 13:37:08,2023-11-03 13:37:09,0.808s,PASSED
"verifyElementPresent(findTestObject(""Object Login/verify_Successfully_Login""), 0)",Chrome 118.0.0.0,,,2023-11-03 13:37:09,2023-11-03 13:37:09,0.528s,PASSED
