Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
openBrowser(base_url),Chrome 117.0.0.0,,,2023-10-13 15:39:13,2023-10-13 15:39:31,17.727s,PASSED
"setText(findTestObject(""Object Login/input_Username_Login""), invalidUsername)",Chrome 117.0.0.0,,,2023-10-13 15:39:31,2023-10-13 15:39:35,3.984s,PASSED
"setText(findTestObject(""Object Login/input_Password_Login""), invalidPassword)",Chrome 117.0.0.0,,,2023-10-13 15:39:35,2023-10-13 15:39:37,1.763s,PASSED
"comment(""function captcha your answer"")",Chrome 117.0.0.0,,,2023-10-13 15:39:37,2023-10-13 15:39:37,0.006s,PASSED
keywordFunctionLogin.FunctionCaptchaLogin.automationCaptcha(),Chrome 117.0.0.0,,,2023-10-13 15:39:37,2023-10-13 15:39:39,2.645s,PASSED
"click(findTestObject(""Object Login/btn_login""))",Chrome 117.0.0.0,,,2023-10-13 15:39:39,2023-10-13 15:39:41,1.269s,PASSED
delay(2),Chrome 117.0.0.0,,,2023-10-13 15:39:41,2023-10-13 15:39:43,2.012s,PASSED
"click(findTestObject(""Object Login/btn_login""))",Chrome 117.0.0.0,,,2023-10-13 15:39:43,2023-10-13 15:39:44,1.127s,PASSED
delay(2),Chrome 117.0.0.0,,,2023-10-13 15:39:44,2023-10-13 15:39:46,2.017s,PASSED
"click(findTestObject(""Object Login/btn_login""))",Chrome 117.0.0.0,,,2023-10-13 15:39:46,2023-10-13 15:39:47,0.986s,PASSED
delay(2),Chrome 117.0.0.0,,,2023-10-13 15:39:47,2023-10-13 15:39:49,2.017s,PASSED
"click(findTestObject(""Object Login/btn_login""))",Chrome 117.0.0.0,,,2023-10-13 15:39:49,2023-10-13 15:39:50,0.876s,PASSED
delay(2),Chrome 117.0.0.0,,,2023-10-13 15:39:50,2023-10-13 15:39:52,2.018s,PASSED
"verifyElementVisible(findTestObject(""Object Login/verify_Unsuccessfully_Login - Too many failed login attempts Please try again in 1 minutes""), STOP_ON_FAILURE)",Chrome 117.0.0.0,,,2023-10-13 15:39:52,2023-10-13 15:40:25,33.310s,FAILED
